no,provinsi,ibukota,tinggi_hilal,elongasi,lama_bulan
1,Aceh,Banda Aceh,- 1° 40',-,0 menit 0 detik
2,Sumatera Utara,Medan,- 1° 44',-,0 menit 0 detik
3,Sumatera Barat,Padang,- 1° 41',-,0 menit 0 detik
4,Riau,Pekanbaru,- 1° 45',-,0 menit 0 detik
5,Kepulauan Riau,Tanjungpinang,- 1° 52',-,0 menit 0 detik
6,Jambi,Jambi,- 1° 46',-,0 menit 0 detik
7,Bengkulu,Bengkulu,- 1° 40',-,0 menit 0 detik
8,Sumatera Selatan,Palembang,- 1° 46',-,0 menit 0 detik
9,Bangka Belitung,Pangkalpinang,- 1° 50',-,0 menit 0 detik
10,Lampung,Bandar Lampung,- 1° 43',-,0 menit 0 detik
11,DKI Jakarta,Jakarta,- 1° 45',-,0 menit 0 detik
12,Banten,Serang,- 1° 44',-,0 menit 0 detik
13,Jawa Barat,Bandung,- 1° 45',-,0 menit 0 detik
14,Jawa Tengah,Semarang,- 1° 50',-,0 menit 0 detik
15,DIY,Yogyakarta,- 1° 48',-,0 menit 0 detik
16,Jawa Timur,Surabaya,- 1° 54',-,0 menit 0 detik
17,Bali,Denpasar,- 1° 56',-,0 menit 0 detik
18,NTB,Mataram,- 1° 58',-,0 menit 0 detik
19,NTT,Kupang,- 2° 09',-,0 menit 0 detik
20,Kalimantan Barat,Pontianak,- 2° 01',-,0 menit 0 detik
21,Kalimantan Tengah,Palangka Raya,- 2° 06',-,0 menit 0 detik
22,Kalimantan Selatan,Banjarmasin,- 2° 06',-,0 menit 0 detik
23,Kalimantan Timur,Samarinda,- 2° 18',-,0 menit 0 detik
24,Kalimantan Utara,Tanjungselor,- 2° 26',-,0 menit 0 detik
25,Sulawesi Selatan,Makassar,- 2° 12',-,0 menit 0 detik
26,Sulawesi Tenggara,Kendari,- 2° 23',-,0 menit 0 detik
27,Sulawesi Barat,Mamuju,- 2° 17',-,0 menit 0 detik
28,Sulawesi Tengah,Palu,- 2° 24',-,0 menit 0 detik
29,Gorontalo,Gorontalo,- 2° 35',-,0 menit 0 detik
30,Sulawesi Utara,Manado,- 2° 43',-,0 menit 0 detik
31,Maluku,Ambon,- 2° 37',-,0 menit 0 detik
32,Maluku Utara,Ternate,- 2° 47',-,0 menit 0 detik
33,Papua Barat,Manokwari,- 3° 00',-,0 menit 0 detik
34,Papua,Jayapura,- 3° 12',-,0 menit 0 detik
35,Papua Selatan,Merauke,- 2° 52',-,0 menit 0 detik
36,Papua Tengah,Nabire,- 2° 56',-,0 menit 0 detik
37,Papua Pegunungan,Jayawijaya,- 3° 02',-,0 menit 0 detik
38,Papua Barat Daya,Sorong,- 2° 53',-,0 menit 0 detik
